Vote,שיר,מבצע,לינק,
,תשאירי לי מקום לחבק אותך בחלום,אבטיפוס,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=28&wrkid=3230,search
,אור הירח,אביב גפן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=34&wrkid=120,search
,השיר שלנו,אביב גפן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=34&wrkid=1264,search
,עונות,אביב גפן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=34&wrkid=2503,search
,הימים עוברים ,אברהם טל ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=7335&wrkid=42651,search
,הזמן עושה את שלו ,אברהם טל ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=7335&wrkid=21610,search
,אדם צובר זכרונות,אברהם טל ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=7335&wrkid=9618,search
,מהרי נא,אהוד בנאי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=57&wrkid=2073,search
,יוצא לאור,אהוד בנאי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=57&wrkid=3481,search
,היום,אהוד בנאי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=57&wrkid=10043,search
,זה מכבר,אושיק לוי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=85&wrkid=1351,search
,יונתן סע הביתה ,אושיק לוי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=85&wrkid=1542,search
,נפלת חזק,איפה הילד,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=110&wrkid=2330,search
,מישהו שומע אותי ,איפה הילד,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=110&wrkid=2139,search
,על גגות תל אביב,אלונה דניאל,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=125&wrkid=3447,search
,השמיים הכחולים,אסף אמדורסקי ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=150&wrkid=1269,search
,ערב של יום בהיר,אפרים שמיר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=157&wrkid=2590,search
,רוצי שמוליק,אריאל זילבר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=162&wrkid=2824,search
,בחברה להגנת הטבע,אריאל זילבר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=162&wrkid=612,search
,בטי בם,אריאל זילבר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=162&wrkid=622,search
,⁠ואיך שלא,אריאל זילבר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=162&wrkid=1299,search
,אני ואתה,אריק איינשטיין,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=400,search
,כשאת בוכה את לא יפה,אריק איינשטיין,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=1780,search
,⁠הכניסיני תחת כנפך,אריק איינשטיין,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=1125,search
,סע לאט,אריק איינשטיין,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=2421,search
,⁠יש בי אהבה,אריק איינשטיין,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=1626,search
,שוב לא שקט ,אריק איינשטיין ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=2679,search
,סן פרנסיסקו על המים ,אריק איינשטיין ,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=2419,search
,אוהב להיות בבית,אריק איינשטיין ,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=88,search
,אדון שוקו,אריק איינשטיין ,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=37,search
,⁠העיירה שלי,אריק סיני,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=169&wrkid=322,search
,שובי שובי לפרדס,אריק סיני,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=169&wrkid=2910,search
,סיבה טובה,אריק סיני,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=169&wrkid=2379,search
,היא לא דומה,ארקדי דוכין,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=173&wrkid=1060,search
,הלוואי,בועז שרעבי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=183&wrkid=1132,search
,אם את עדין אוהבת אותי,בועז שרעבי,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=183&wrkid=18051,search
,חופשי ומאושר,בועז שרעבי,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=183&wrkid=1422,search
,יום שישי את יודעת,בנזין,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=187&wrkid=1537,search
,עוד חוזר הניגון,ברי סחרוף,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=202&wrkid=2473,search
,ככה זה,ברי סחרוף,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=202&wrkid=33969,search
,⁠שיר לאהבה,גאיה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2723&wrkid=2998,search
,היא לא תדע,גזוז,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=223&wrkid=3677,search
,רוני,גזוז,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=223&wrkid=2815,search
,אה או,גזוז,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=223&wrkid=3697,search
,מילים יפות,גזוז,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=223&wrkid=2130,search
,קפה בתחתית,גזוז,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=223&wrkid=3694,search
,רק עם אופנוע ,גזוז,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=223&wrkid=2871,search
,נאחז באוויר,גידי גוב,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=225&wrkid=2266,search
,יש אי שם,גידי גוב,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=225&wrkid=1623,search
,אני שוב מתאהב,גידי גוב,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=225&wrkid=429,search
,ומספרים (בנפאל הרחוקה),גלי עטרי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=268&wrkid=2328,search
,הכל עומד במקום,גלי עטרי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=268&wrkid=1121,search
,בין האש ובין המים,גלי עטרי,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=268&wrkid=21665,search
,ירח כחול,גן חיות,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1050&wrkid=3317,search
,מתחת לשמיים,דיויד ברוזה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=301&wrkid=2261,search
,לבן על לבן,דן תורן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=305&wrkid=1869,search
,לא קלה היא דרכנו,דני בסן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=308&wrkid=917,search
,דון קישוט,דני סנדרסון,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1943&wrkid=1340,search
,לא פראיירים,הדג נחש ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=333&wrkid=3720,search
,עוד לילה עבר,הדורבנים,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1991&wrkid=16893,search
,יצאנו לרקוד,הדורבנים,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1991&wrkid=6789,search
,אינך יכולה,החלונות הגבוהים,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=339&wrkid=214,search
,התשמע קולי,החלונות הגבוהים ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=339&wrkid=1386,search
,⁠העץ הוא גבוה,החלונות הגבוהים ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1261&wrkid=4444,search
,ברקים ורעמים,הכבש השישה עשר ,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=342&wrkid=6081,search
,שלווה (על המחנה נדלק ירח),הלהקה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=578&wrkid=3064,search
,ברחוב הנשמות הטהורות,הנשמות הטהורות,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=347&wrkid=743,search
,כל יום מחדש,התקווה 6 ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=5629&wrkid=27853,search
,ככה את רצית אותי,זילבר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=162&wrkid=1688,search
,רק אל תלכי,זקני צפת,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=380&wrkid=2860,search
,רק אל תלכי ,זקני צפת,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=380&wrkid=2860,search
,⁠הללויה,חלב ודבש,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=405&wrkid=1146,search
,התחנה הישנה,טיפקס,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=429&wrkid=1284,search
,יושבים בבית קפה,טיפקס,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=429&wrkid=1552,search
,בתוך נייר עיתון ,טיפקס,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=429&wrkid=778,search
,תן לי,יגאל בשן,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=450&wrkid=4760,search
,ציפור קטנה בלב,יגאל בשן,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=450&wrkid=1635,search
,סיוון ,יגאל בשן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=450&wrkid=2386,search
,קפה אצל ברטה,יגאל בשן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=450&wrkid=2763,search
,פנים אל מול פנים,יהודה פוליקר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=459&wrkid=2635,search
,ארץ טרופית,יהודית רביץ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=462&wrkid=465,search
,עכשיו הכל בסדר,יהודית רביץ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=462&wrkid=3252,search
,עוד לא אהבתי די,יהורם גאון,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=465&wrkid=3251,search
,שוב היא כאן,יוני רכטר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=489&wrkid=4614,search
,מה תאמרי,יזהר אשדות,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=517&wrkid=2070,search
